id,from,to,voltage,reactance,resistance,circuits,pmax
652,34,251,220,5.149757517,0.949486542,1,490
653,388,203,220,3.622418964,0.667883497,2,490
654,198,188,220,30.490813,5.621743647,1,490
655,59,74,220,2.817611817,0.519497179,1,490
656,111,163,220,3.88612592,0.716504467,1,490
657,29,235,220,7.436264925,1.371061345,2,490
658,216,203,220,8.816385779,1.625521128,1,490
659,64,400,220,24.01406775,4.427593742,2,490
660,186,185,220,5.550679086,1.023406457,2,490
661,211,213,220,8.875111497,1.636348682,1,490
662,314,323,220,23.66259603,4.362791143,2,490
663,359,137,220,19.77850703,3.646662233,1,490
664,186,447,220,4.57907405,0.844266778,1,490
665,321,319,220,36.11033651,6.657843295,1,490
666,122,154,220,4.131459855,0.761737911,1,490
667,327,329,380,5.696971696,0.657342888,1,2100
668,382,379,220,10.92651768,2.014576698,2,490
669,249,201,220,20.53280399,3.785735736,1,490
670,240,239,220,0.381634386,0.07036384,2,490
671,316,314,220,14.61495277,2.694631917,2,490
672,346,335,220,50.42968408,9.297973002,1,490
673,171,117,220,5.167880695,0.952828003,1,490
674,232,231,380,0.65382768,0.075441655,2,1700
675,106,103,220,0.991647362,0.182834982,2,490
676,207,391,220,19.85461017,3.66069375,1,490
677,198,196,220,8.878245883,1.636926585,2,490
678,7,88,220,1.127426366,0.207869236,1,490
679,113,161,220,10.02075165,1.847576085,1,490
680,420,359,220,48.44945584,8.93286842,1,490
681,173,109,220,3.258224966,0.600735228,2,490
682,365,364,220,12.5202396,2.308419176,2,490
683,123,151,220,1.20943501,0.22298958,2,490
684,128,233,220,15.03753549,2.772545606,2,490
685,437,3,220,8.44780322,1.557563719,2,490
686,113,101,220,3.617368782,0.666952369,1,490
687,111,165,220,4.568609439,0.842337365,3,490
688,286,284,220,22.49462621,4.147446708,1,490
689,183,185,220,16.43341204,3.029910346,2,490
690,424,423,220,3.887066279,0.716677845,2,490
691,421,55,220,0.665667959,0.12273253,1,490
692,321,325,380,11.30955324,1.30494845,1,1700
693,217,220,380,14.79193195,1.706761379,1,1700
694,182,181,380,9.863469265,1.138092608,1,1700
695,206,205,220,9.334367357,1.721023981,1,490
696,145,176,220,24.70197477,4.554426598,1,490
697,194,181,380,13.23004142,1.526543241,1,1700
698,236,235,220,12.89742874,2.377963424,1,490
699,438,284,380,3.176986946,0.366575417,1,1700
700,207,206,220,5.373019278,0.990650429,2,490
